Абзац,Позитивный вопрос
"2.7.2 Терминология

Дефект -изъян или недочет в данных проекта. Любой дефект характеризуется обязательным параметром -уровнем критичности . В данный момент определено 3 уровня критичности:

- -Ошибка -серьезный дефект способный привести к неработоспособности или некорректной работе некоторых приложений СУРЫ;
- -Предупреждение -дефект  не  способный  привести  к  некорректной  работе  приложений СУРЫ, но влияющий на потребительские качества СУРЫ  (неоднозначность восприятия информации, снижение производительности и т.д.);
- -Информация -дефект никак себя не проявляющий, но противоречащий логике проекта.

Тест -автоматическая процедура выявления дефектов проекта по определенным параметрам.

Диагностика -выполнение набора тестов.

Коррекция -процедура исправления дефекта. В том числе:

- -Ручная коррекция -коррекция, производимая пользователем с помощью соответствующего средства проектирования (Базиса, Полиса и т.д.);
- -Автокоррекция -коррекция,  выполняемая  приложением Диагностика  проекта по команде пользователя.",Какой уровень критичности дефекта может привести к неработоспособности приложений СУРЫ?
"2.7.2 Терминология

Дефект -изъян или недочет в данных проекта. Любой дефект характеризуется обязательным параметром -уровнем критичности . В данный момент определено 3 уровня критичности:

- -Ошибка -серьезный дефект способный привести к неработоспособности или некорректной работе некоторых приложений СУРЫ;
- -Предупреждение -дефект  не  способный  привести  к  некорректной  работе  приложений СУРЫ, но влияющий на потребительские качества СУРЫ  (неоднозначность восприятия информации, снижение производительности и т.д.);
- -Информация -дефект никак себя не проявляющий, но противоречащий логике проекта.

Тест -автоматическая процедура выявления дефектов проекта по определенным параметрам.

Диагностика -выполнение набора тестов.

Коррекция -процедура исправления дефекта. В том числе:

- -Ручная коррекция -коррекция, производимая пользователем с помощью соответствующего средства проектирования (Базиса, Полиса и т.д.);
- -Автокоррекция -коррекция,  выполняемая  приложением Диагностика  проекта по команде пользователя.",Как называется процедура выявления дефектов проекта с помощью тестов?
"2.7.2 Терминология

Дефект -изъян или недочет в данных проекта. Любой дефект характеризуется обязательным параметром -уровнем критичности . В данный момент определено 3 уровня критичности:

- -Ошибка -серьезный дефект способный привести к неработоспособности или некорректной работе некоторых приложений СУРЫ;
- -Предупреждение -дефект  не  способный  привести  к  некорректной  работе  приложений СУРЫ, но влияющий на потребительские качества СУРЫ  (неоднозначность восприятия информации, снижение производительности и т.д.);
- -Информация -дефект никак себя не проявляющий, но противоречащий логике проекта.

Тест -автоматическая процедура выявления дефектов проекта по определенным параметрам.

Диагностика -выполнение набора тестов.

Коррекция -процедура исправления дефекта. В том числе:

- -Ручная коррекция -коррекция, производимая пользователем с помощью соответствующего средства проектирования (Базиса, Полиса и т.д.);
- -Автокоррекция -коррекция,  выполняемая  приложением Диагностика  проекта по команде пользователя.",Что представляет собой уровень критичности 'Информация' в контексте дефектов проекта?
"2.7.2 Терминология

Дефект -изъян или недочет в данных проекта. Любой дефект характеризуется обязательным параметром -уровнем критичности . В данный момент определено 3 уровня критичности:

- -Ошибка -серьезный дефект способный привести к неработоспособности или некорректной работе некоторых приложений СУРЫ;
- -Предупреждение -дефект  не  способный  привести  к  некорректной  работе  приложений СУРЫ, но влияющий на потребительские качества СУРЫ  (неоднозначность восприятия информации, снижение производительности и т.д.);
- -Информация -дефект никак себя не проявляющий, но противоречащий логике проекта.

Тест -автоматическая процедура выявления дефектов проекта по определенным параметрам.

Диагностика -выполнение набора тестов.

Коррекция -процедура исправления дефекта. В том числе:

- -Ручная коррекция -коррекция, производимая пользователем с помощью соответствующего средства проектирования (Базиса, Полиса и т.д.);
- -Автокоррекция -коррекция,  выполняемая  приложением Диагностика  проекта по команде пользователя.",Какие виды коррекции дефектов существуют в рамках проекта?
"2.7.2 Терминология

Дефект -изъян или недочет в данных проекта. Любой дефект характеризуется обязательным параметром -уровнем критичности . В данный момент определено 3 уровня критичности:

- -Ошибка -серьезный дефект способный привести к неработоспособности или некорректной работе некоторых приложений СУРЫ;
- -Предупреждение -дефект  не  способный  привести  к  некорректной  работе  приложений СУРЫ, но влияющий на потребительские качества СУРЫ  (неоднозначность восприятия информации, снижение производительности и т.д.);
- -Информация -дефект никак себя не проявляющий, но противоречащий логике проекта.

Тест -автоматическая процедура выявления дефектов проекта по определенным параметрам.

Диагностика -выполнение набора тестов.

Коррекция -процедура исправления дефекта. В том числе:

- -Ручная коррекция -коррекция, производимая пользователем с помощью соответствующего средства проектирования (Базиса, Полиса и т.д.);
- -Автокоррекция -коррекция,  выполняемая  приложением Диагностика  проекта по команде пользователя.",Что означает диагностика в контексте работы с проектами и дефектами?
"2.4.1 Общие

Показывает общую информацию об OPC UA сервере:

- -Версия ПО -текущая версия ПО OPC UA сервера;
- -Версия ОС -текущая версия операционной OPC UA сервера;
- -Время запуска -время последнего запуска программируемого сервера;
- -Текущее время -системное время программируемого сервера;
- -Загрузка памяти (%) -процент занятой памяти;
- -Физическая память (б) -размер физической памяти в байтах;
- -Доступно физической памяти (б) -размер доступной физической памяти в байтах;
- -Файл подкачки (б) -размер файла подкачки в байтах;
- -Доступно в файле подкачки (б) -размер доступной области в файле подкачки в байтах;
- -Виртуальная память (б) -размер виртуальной памяти в байтах;
- -Доступно виртуальной памяти (б) -размер доступной области в виртуальной памяти в байтах;
- -Текущее число сессий -количество сессий;
- -Создано сессий -количество созданных сессий;
- -Отклонено сессий -количество отклоненных сессий;
- -Таймаутов сессий -количество таймаутов сессий;
- -Прервано сессий -количество прерванных сессий;
- -Отклонено запросов -количество отклоненных запросов;
- -Подписки. Общее число -количество подписок;
- -Подписки. Всего элементов в подписках -общее количество элементов в подписках;
- -Все соединения. Общее число -количество соединений;
- -Все соединения. Всего послано (б/c) -количество отправленных байт в секунду;
- -Все соединения. Всего получено (б/с) -количество полученных байт в секунду.",Какая текущая версия программного обеспечения OPC UA сервера?
"2.4.1 Общие

Показывает общую информацию об OPC UA сервере:

- -Версия ПО -текущая версия ПО OPC UA сервера;
- -Версия ОС -текущая версия операционной OPC UA сервера;
- -Время запуска -время последнего запуска программируемого сервера;
- -Текущее время -системное время программируемого сервера;
- -Загрузка памяти (%) -процент занятой памяти;
- -Физическая память (б) -размер физической памяти в байтах;
- -Доступно физической памяти (б) -размер доступной физической памяти в байтах;
- -Файл подкачки (б) -размер файла подкачки в байтах;
- -Доступно в файле подкачки (б) -размер доступной области в файле подкачки в байтах;
- -Виртуальная память (б) -размер виртуальной памяти в байтах;
- -Доступно виртуальной памяти (б) -размер доступной области в виртуальной памяти в байтах;
- -Текущее число сессий -количество сессий;
- -Создано сессий -количество созданных сессий;
- -Отклонено сессий -количество отклоненных сессий;
- -Таймаутов сессий -количество таймаутов сессий;
- -Прервано сессий -количество прерванных сессий;
- -Отклонено запросов -количество отклоненных запросов;
- -Подписки. Общее число -количество подписок;
- -Подписки. Всего элементов в подписках -общее количество элементов в подписках;
- -Все соединения. Общее число -количество соединений;
- -Все соединения. Всего послано (б/c) -количество отправленных байт в секунду;
- -Все соединения. Всего получено (б/с) -количество полученных байт в секунду.",Какая версия операционной системы установлена на OPC UA сервере?
"2.4.1 Общие

Показывает общую информацию об OPC UA сервере:

- -Версия ПО -текущая версия ПО OPC UA сервера;
- -Версия ОС -текущая версия операционной OPC UA сервера;
- -Время запуска -время последнего запуска программируемого сервера;
- -Текущее время -системное время программируемого сервера;
- -Загрузка памяти (%) -процент занятой памяти;
- -Физическая память (б) -размер физической памяти в байтах;
- -Доступно физической памяти (б) -размер доступной физической памяти в байтах;
- -Файл подкачки (б) -размер файла подкачки в байтах;
- -Доступно в файле подкачки (б) -размер доступной области в файле подкачки в байтах;
- -Виртуальная память (б) -размер виртуальной памяти в байтах;
- -Доступно виртуальной памяти (б) -размер доступной области в виртуальной памяти в байтах;
- -Текущее число сессий -количество сессий;
- -Создано сессий -количество созданных сессий;
- -Отклонено сессий -количество отклоненных сессий;
- -Таймаутов сессий -количество таймаутов сессий;
- -Прервано сессий -количество прерванных сессий;
- -Отклонено запросов -количество отклоненных запросов;
- -Подписки. Общее число -количество подписок;
- -Подписки. Всего элементов в подписках -общее количество элементов в подписках;
- -Все соединения. Общее число -количество соединений;
- -Все соединения. Всего послано (б/c) -количество отправленных байт в секунду;
- -Все соединения. Всего получено (б/с) -количество полученных байт в секунду.",Сколько сессий в данный момент активно на сервере?
"2.4.1 Общие

Показывает общую информацию об OPC UA сервере:

- -Версия ПО -текущая версия ПО OPC UA сервера;
- -Версия ОС -текущая версия операционной OPC UA сервера;
- -Время запуска -время последнего запуска программируемого сервера;
- -Текущее время -системное время программируемого сервера;
- -Загрузка памяти (%) -процент занятой памяти;
- -Физическая память (б) -размер физической памяти в байтах;
- -Доступно физической памяти (б) -размер доступной физической памяти в байтах;
- -Файл подкачки (б) -размер файла подкачки в байтах;
- -Доступно в файле подкачки (б) -размер доступной области в файле подкачки в байтах;
- -Виртуальная память (б) -размер виртуальной памяти в байтах;
- -Доступно виртуальной памяти (б) -размер доступной области в виртуальной памяти в байтах;
- -Текущее число сессий -количество сессий;
- -Создано сессий -количество созданных сессий;
- -Отклонено сессий -количество отклоненных сессий;
- -Таймаутов сессий -количество таймаутов сессий;
- -Прервано сессий -количество прерванных сессий;
- -Отклонено запросов -количество отклоненных запросов;
- -Подписки. Общее число -количество подписок;
- -Подписки. Всего элементов в подписках -общее количество элементов в подписках;
- -Все соединения. Общее число -количество соединений;
- -Все соединения. Всего послано (б/c) -количество отправленных байт в секунду;
- -Все соединения. Всего получено (б/с) -количество полученных байт в секунду.",Какой процент памяти в данный момент занят на сервере?
"2.4.1 Общие

Показывает общую информацию об OPC UA сервере:

- -Версия ПО -текущая версия ПО OPC UA сервера;
- -Версия ОС -текущая версия операционной OPC UA сервера;
- -Время запуска -время последнего запуска программируемого сервера;
- -Текущее время -системное время программируемого сервера;
- -Загрузка памяти (%) -процент занятой памяти;
- -Физическая память (б) -размер физической памяти в байтах;
- -Доступно физической памяти (б) -размер доступной физической памяти в байтах;
- -Файл подкачки (б) -размер файла подкачки в байтах;
- -Доступно в файле подкачки (б) -размер доступной области в файле подкачки в байтах;
- -Виртуальная память (б) -размер виртуальной памяти в байтах;
- -Доступно виртуальной памяти (б) -размер доступной области в виртуальной памяти в байтах;
- -Текущее число сессий -количество сессий;
- -Создано сессий -количество созданных сессий;
- -Отклонено сессий -количество отклоненных сессий;
- -Таймаутов сессий -количество таймаутов сессий;
- -Прервано сессий -количество прерванных сессий;
- -Отклонено запросов -количество отклоненных запросов;
- -Подписки. Общее число -количество подписок;
- -Подписки. Всего элементов в подписках -общее количество элементов в подписках;
- -Все соединения. Общее число -количество соединений;
- -Все соединения. Всего послано (б/c) -количество отправленных байт в секунду;
- -Все соединения. Всего получено (б/с) -количество полученных байт в секунду.",Сколько байт данных было отправлено через все соединения за последнюю секунду?
